Banglish,Bangla
domki,দমকি
domne,দমনে
domnei,দমনেই
domner,দমনের
domobondho,দমবন্ধ
domok,দমক
domokol,দমকল
domon,দমন
domonniti,দমননীতি
dompotjo,দম্পত্য
dompti,দম্পতি
domptike,অনেক
domptir,দম্পতির
domti,ডোমটি
domve,দম্ভে
domvo,দম্ভ
domyer,দময়ের
dona,ডোনা
donadon,দনাদন
donaldo,ডোনাল্ড
donate,ডোনাটে
donbadh,দনবাধ
dondadesh,দণ্ডাদেশ
donde,দন্ডে
dondho,দন্ধ
dondit,দন্ডিত
dondke,দন্ডকে
dondniy,দন্ডনিয়
dondo,দন্ড
dondoprapto,দণ্ডপ্রাপ্ত
doner,দোনের
doneshon,ডোনেশন
donet,ডোনেট
dong,ডং
dongos,ডংস
dongosh,দংশ
dongoshokre,দংশকরে
dongoshon,দংশন
dongoyer,ডংয়ের
dongsheni,দংশেনি
dongsher,দংশের
dongsohbe,দংসোহবে
doni,দনি
doniya,দোনিয়া
doniyar,দনিয়ার
doniyasoh,দনিয়াসহ
doniyate,দোনিয়াতে
donjba,দন্যবা
donjbad,দন্যবাদ
donjbadh,দন্যবাধ
donjbat,দন্যবাত
donjo,দন্য
donkar,দনকার
donnjo,দন্ন্য
donno,দন্ন
donnobat,পুলিশ
donnuba,দননুবা
dono,দোনো
donthin,দন্তহীন
dontjon,দন্ত্যন
donto,দন্ত
dooa,অাল্লাহ
dooja,দোওযা
doolodiya,দোওলোদিয়া
doore,দোওরে
dooya,দোওয়া
dooyar,দোওয়ার
dop,ডোপ
dopai,ডোপাই
dopron,দপ্রন
doptor,দপ্তর
doptorgulo,দপ্তরগুলো
doptre,দপ্তরে
doptrer,দপ্তরের
doptri,দপ্তরি
dor,দর
dora,দরা
dorabo,দরাবো
doradori,দোড়াদোড়ি
dorai,দরাই
doraibar,ডরাইবার
doraiche,ডরাইছে
doraichen,ডরাইছেন
doraj,দরাজ
dorakar,দরাকার
dorakor,দরাকর
doraprar,দরাপরার
dorar,দরার
doray,ডরায়
dorbar,দরবার
dorbare,দরবারে
dorbe,দরবে
dorbea,দরবো
dorbei,দরবেই
dorbelti,ডোরবেলটি
dorche,দরছে
dorchen,দরছেন
dordam,দরদাম
dordame,দরদামে
dorde,দরদে
dordi,দরদী
dordo,দরদও
dore,দরে
dorece,দোরেচে
doreche,দরেছে
dorechen,দরেছেন
dorechile,দরেছিলে
dorei,দরেই
doren,দরেন
dorenapulishoimuulopradi,দরেনাপুলিশঐমুূলঅপরাদি
dorer,ডরের
dorgoray,দোরগোড়ায়
dori,দড়ি
doridrder,দরিদ্রদের
doridrer,দরিদ্রের
doridro,দরিদ্র
doridrra,দরিদ্ররা
doridrro,দরিদ্র্র
doridrsimar,দরিদ্রসীমার
doridrta,দরিদ্রতা
doridrtar,দরিদ্রতার
dorir,দড়ির
dorite,দরিতে
doritos,ডরিটোস
doriya,দরিয়া
doriyan,ডরিয়ান
doriyaner,ডরিয়ানের
doriyay,দরিয়ায়
doriye,দরিয়ে
dorja,দরজা
dorjajanla,দরজাজানলা
dorjar,দরজার
dorjata,দরজাটা
dorjati,দরজাটি
dorjay,দরজায়
dorka,দরকা
dorkal,দরকাল
dorkan,দরকান
dorkanai,দরকানাই
dorkar,দরকার
dorkarache,দরকারআছে
dorkare,দরকারে
dorkari,দরকারি
dorkarki,দরকারকি
dorkarnai,দরকারনাই
dorkaro,দরকারও
dorkarta,দরকারটা
dorkasto,দরকাস্ত
dorkat,দরকাট
dorker,ডর্কের
dorkhasto,দরখাস্ত
dorle,দরলে
dorlo,দরলো
dormant,আপনি
dormer,দরমের
dormti,ডর্মটি
dorne,দরনে
dorner,দরনের
dornitir,দোরনিতীর
dorod,দরদ
dorodh,দরধ
dorodor,দরদর
dorofai,ডোরোফাই
doroj,৷
dorojar,দরোজার
dorokshakshite,দরকষাকষিতে
dorom,দরম
doron,দরন
doropotner,দরপতনের
doroshok,দরশক
doroson,দরসন
dorot,দরত
dorpe,দর্পে
dorpne,দর্পণে
dorpon,দর্পণ
dorra,দোররা
dorrar,দররার
dorset,ডরসেট
dorshabe,দর্শাবে
dorshanor,দর্শানোর
dorshate,দর্শাতে
dorshker,দর্শকের
dorshkera,দর্শকেরা
dorshnarthi,দর্শনার্থী
dorshnarthider,দর্শনার্থীদের
dorshnarthir,দর্শনার্থীর
dorshne,দর্শনে
dorshnei,দর্শনেই
dorshner,দর্শনের
dorshniy,দর্শনীয়
dorshok,দর্শক
dorshokder,দর্শকদের
dorshokderke,দর্শকদেরকে
dorshokke,দর্শককে
dorshokojonopriyta,দর্শকজনপ্রিয়তা
dorshokoshrota,দর্শকশ্রোতা
dorshokra,দর্শকরা
dorshon,দর্শন
dorshonkari,দর্ষনকারী
dorshonkarir,দর্ষণকারীর
dorsi,ডরসি
dorsok,দর্সক
dorud,দরুদ
dorude,দরুদে
dorudi,দরুদি
dorun,দরুন
dos,দোস
dosaitibeta,ডোসআইটিবেটা
doser,দোসের
dosh,দোষ
dosha,দশা
doshacchen,দোষাচ্ছেন
doshai,দশাই
doshani,দশআনী
doshar,দশার
dosharo,দোশারো
dosharodh,দোষারোধ
dosharop,দোষারোপ
dosharoper,দোষারোপের
dosharopta,দোষারোপটা
dosharpo,দোষারপও
doshay,দশায়
doshbar,দশবার
doshdin,দশদিন
doshe,দোষে
doshek,দশেক
dosher,দশের
doshete,দোষেতে
doshgulor,দোষগুলোর
doshgun,দশগুণ
doshi,দোষী
doshider,দোষীদের
doshike,দোষীকে
doshir,দোষীর
doshira,দোষীরা
doshirao,দোষীরাও
doshita,দষিতা
doshke,দশকে
doshkeo,দশকেও
doshker,দশকের
doshkero,দশকেরও
doshmas,দশমাস
doshmik,দশমিক
doshner,দষনের
doshniy,দোষনিয়
doshobochor,দশবছর
doshojon,দশজন
doshok,দশক
doshokguloamar,দশকগুলোআমার
doshokti,দশকটি
doshom,দশম
doshot,দোষত
doshotlar,দশতলার
doshotrak,দশট্রাক
doshta,দশটা
doshtadosh,দশটাদশ
doshtai,দোষটাই
doshtaka,দশটাকা
doshtar,দশটার
doshtay,দশটায়
doshti,দশটি
doshto,দোষতো
doshvager,দশভাগের
dosi,দোসী
dosor,দোসর
dosorder,দোসরদের
dosorderke,দোসরদেরকে
dosorra,দোসররা
dososjrai,দসস্যরাই
dosrera,দোসরেরা
dost,দোস্ত
dostgir,দস্তগীর
dosto,দোস্ত
dostokhot,দস্তখত
dot,ডট
dotanay,দোটানায়
dotar,ডটার
dotbaba,ডটবাবা
dote,দতে
dotlar,দোতলার
dotobol,ডটবল
dotokom,ডটকম
dotter,দত্তের
dottke,দত্তকে
dotto,দত্ত
doude,দোউডে
douhid,দৌহিদ
doukhanur,দোউখানুর
douldiya,দৌলদিয়া
doulodiya,দৌলোদিয়া
doulot,দৌলত
doulotdiya,দৌলতদিয়া
doulotpur,দৌলতপুর
doulte,দৌলতে
dour,দৌড়
doura,দৌড়া
dourabe,দৌড়াবে
douracche,দৌড়াচ্ছে
douracchen,দৌড়াচ্ছেন
douracchilam,দৌড়াচ্ছিলাম
douracchilamotokhni,দৌড়াচ্ছিলামতখনি
douracchilo,তখন
dourache,দৌড়াছে
douradouri,দৌড়াদৌড়ি
douradourir,দৌড়াদৌড়ির
dourai,অনুভূতির
douraiya,দৌড়াইয়া
dourano,দৌড়ানো
douranor,দৌড়ানোর
dourate,দৌঁড়াতে
douratechilo,দৌড়াতেছিলো
douratmjkei,দৌরাত্ম্যকেই
douratmjo,দৌরাত্ম্য
douratmo,দৌরাত্ম
dourato,দৌড়াতো
douray,দৌড়ায়
dourayni,দৌড়ায়নি
doure,দৌড়ে
dourechi,দৌড়েছি
dourer,দৌড়ের
douri,দৌড়ি
douriye,দৌরিয়ে
dourjhap,দৌড়ঝাপ
dourke,দৌড়কে
dourotmo,দৌরত্ম
doy,দোয়
doya,দোয়া
doyaban,দয়াবান
doyah,দোয়াহ
doyai,দোয়াই
doyakorben,দোয়াকরবেন
doyakre,দয়াকরে
doyakri,দোয়াকরি
doyal,দয়াল
doyalbabar,দয়ালবাবার
doyalu,দয়ালু
doyamaya,দয়ামায়া
doyammnon,দয়াম্ম্নন
doyamoy,দয়াময়
doyao,দোয়াও
doyar,দোয়ার
doyare,দোয়ারে
doyaril,দোয়ারইল
doyarokri,দোয়ারকরি
doyashil,দয়াশীল
doyasla,দোয়াসলা
doyati,দোয়াটি
doyay,দোয়ায়
doye,দোয়ে
doyin,ডয়িন
doykar,দয়কার
doyuj,দয়ুজ
dpearlyywhites,আজ
drabir,দ্রাবিড়
drabirder,দ্রাবিড়দের
drafot,ড্রাফট
drag,ড্রাগ
dragaote,ড্রাগাওতে
drager,ড্রাগের
dragon,ড্রাগন
dragonder,ড্রাগনদের
dragonos,ড্রাগনস
dragonselok,ড্রাগনসএলক
dragos,ড্রাগস
draibar,ড্রাইবার
draibarer,ড্রাইবারের
draiv,ড্রাইভ
draivair,ড্রাইভাইর
draivar,ড্রাইভার
draivarder,ড্রাইভারদের
draivarderke,ড্রাইভারদেরকে
draivare,ড্রাইভারে
draivarer,ড্রাইভারের
draivargula,ড্রাইভারগুলা
draivari,ড্রাইভারি
draivarke,ড্রাইভারকে
draivarra,ড্রাইভাররা
draivarrao,ড্রাইভাররাও
draivarta,ড্রাইভারটা
draivartar,ড্রাইভারটার
draivarti,ড্রাইভারটি
draive,ড্রাইভে
draiver,ড্রাইভের
draiving,ড্রাইভিং
draivoye,ড্রাইভওয়ে
drak,ড্রাক
drakkhakkheter,দ্রাক্ষাক্ষেতের
drakser,ড্রাক্সের
dram,ড্রাম
drama,ড্রামা
dramar,ড্রামার
dramarer,ড্রামারের
dramer,ড্রামের
dramguli,ড্রামগুলি
dramgulor,ড্রামগুলোর
drayar,ড্রায়ার
drayvar,ড্রায়ভার
drbadi,দ্রবাদি
drber,দ্রবের
drbo,দ্রবো
dre,ড্রে
dredhed,ড্রেডহেড
dreker,ড্রেকের
drenar,ড্রেনার
drener,ড্রেনের
drenos,একটা
dres,ড্রেস
dresap,ড্রেসআপ
drese,ড্রেসে
dreser,ড্রেসের
dreshjo,দ্রেশ্য
dresing,ড্রেসিং
dresingrum,ড্রেসিংরুম
dresta,ড্রেসটা
dri,দৃ
driaivar,ডৃাইভার
dribar,ড্রিবার
dribling,ড্রিবলিং
driblingoye,ড্রিবলিংয়ে
driblingye,ড্রিবলিংয়ে
dridh,দৃঢ়
dridrer,দরিদ্রের
drierc,দৃ
drigh,দৃঘ
drigrite,ড্রিগ্রীতে
drike,ড্রিকে
drily,দৃ
drim,ড্রিম
drimnesto,ড্রিমনেস্ট
dringok,ড্রিংক
dringokos,ড্রিংকস
dringos,ড্রিংস
drint,দৃ
dripti,দৃপ্তি
drir,দৃঢ়
drirogjibi,দৃরগজীবি
drirta,দৃঢ়তা
drirtar,দৃঢ়তার
drirvabe,দৃঢ়ভাবে
drishj,দৃশ্য
drishjabli,দৃশ্যাবলী
drishje,দৃশ্যে
drishjer,দৃশ্যের
drishjguli,দৃশ্যগুলি
drishjgulite,দৃশ্যগুলিতে
drishjgulo,দৃশ্যগুলো
drishji,দৃশ্যই
drishjman,দৃশ্যমান
drishjo,দৃশ্য
drishjokolpo,দৃশ্যকল্প
drishjopot,দৃশ্যপট
drishjor,দৃশ্যর
drishjot,দৃশ্যত
drishjta,দৃশ্যটা
drishjtao,দৃশ্যটাও
drishjtar,দৃশ্যটার
drishjti,দৃশ্যটি
drishtanmulok,দৃষ্টানমুলক
drishtanot,দৃষ্টানত
drishtant,দৃষ্টান্ত
drishtantmulok,দৃষ্টান্তমূলক
drishtantmulokshasti,দৃষ্টান্তমূলকশাস্তি
drishtanto,দৃষ্টান্ত
drishte,দৃষ্টে
drishthanto,দৃষ্ঠান্ত
drishti,দৃষ্টি
drishtidan,দৃষ্টিদান
drishtigocor,দৃষ্টিগোচর
drishtijyike,দৃষ্টিজয়ীকে
drishtikon,দৃষ্টিকোণ
drishtiktu,দৃষ্টিকটু
drishtiktuvabe,দৃষ্টিকটুভাবে
drishtinondon,দৃষ্টিনন্দন
drishtir,দৃষ্টির
drishtisima,দৃষ্টিসীমা
drishtita,দৃষ্টিটা
drishtite,দৃষ্টিতে
drishtiteo,দৃষ্টিতেও
drishtivngi,দৃষ্টিভঙি
drishtivonggi,দৃষ্টিভঙ্গি
drishtivonggio,দৃষ্টিভঙ্গিও
drishtivonggir,দৃষ্টিভঙ্গির
drishtivonggita,পরিবর্তন
drishtivonggite,দৃষ্টিভঙ্গিতে
drishtta,দৃষ্টতা
drissho,দৃশ্য
dristantmulok,দৃস্টান্তমুলক
dristanto,দৃস্টান্ত
dristi,দৃস্টি
dristigocor,দৃস্টিগোচর
dristite,দৃস্টিতে
drit,দৃত
driu,দৃ
driur,দৃ
drizzle,অবাক
dro,ড্র
drob,দ্রব
drobjer,দ্রব্যের
drobjmuljer,দ্রব্যমূল্যের
drobjmuljo,দ্রব্যমূল্য
drobjo,দ্রব্য
drobne,দ্রবনে
droh,দ্রোহ
drohi,দ্রোহী
drohitay,দ্রোহিতায়
drojar,দরোজার
dron,ড্রোন
droner,ড্রোনের
drongkas,ড্রঙ্কাস
dronta,ড্রোনটা
drop,ড্রপ
droshtobjo,দ্রষ্টব্য
drot,দ্রত
dround,এর
droy,দ্রয়
droyare,ড্রয়ারে
droyarer,ড্রয়ারের
drredel,ড্র্রেডেল
drreser,ড্র্রেসের
drrut,দ্ররুত
drtasomponno,দ্ঢ়তাসম্পন্ন
drtu,দ্রতু
drub,দ্রুব
drubjer,দ্রুব্যের
drun,দরুন
drut,দ্রুত
drutar,দ্রুতার
drutgami,দ্রুতগামী
druti,দ্রুতই
druto,দ্রুত
drutogtite,দ্রুতগতিতে
drutotom,দ্রুততম
druttar,দ্রুততার
dryar,ড্রয়ার
drying,ড্রয়িং
dshjo,দ্শ্য
du,দু
dua,দুআ
dub,ডুব
dubabi,ডুবাবি
dubacche,ডুবাচ্ছে
dubai,দুবাই
dubair,দুবাইর
dubaite,দুবাইতে
dubaiy,দুবাইয়
dubaiya,ডুবাইয়া
dubaiye,দুবাইয়ে
dubaiyer,স্টেশন
duban,ডুবান
dubanor,বিস্কুট
dubar,দুবার
dubare,দুবারে
dubari,দুবারই
dubatei,ডুবাতেই
dubay,ডুবায়
dubche,ডুবছে
dube,ডুবে
dubeche,ডুবেছে
dubela,দুবেলা
dubi,ডুবি
dubir,ডুবির
dubish,দূবিষ
dubiya,ডুবিয়া
dubiye,ডুবিয়ে
dubjol,দূব্যল
dubler,দুবলের
dublo,ডুবলো
dubochor,দুবছর
dubol,দুবল
dubolder,দূবলদের
dubolta,দূবলতা
dubrittayon,দুবৃত্তায়ন
dubte,ডুবতে
dubu,মারা
ducce,দুচচে
duce,রয়েছে
ducebag,ডুচেবাগ
duch,দুছ
duchito,দেশের
ducokh,দুচোখ
ducokhe,দুচোখে
dud,দুদ
duder,দুদের
dudes,জন্য
dudeshe,দূদেশে
dudh,দুধ
dudhdekhe,দুধদেখে
dudhe,দুধে
dudher,দুধের
dudhu,দুধু
dudhur,দুধুর
dudhvat,দুধভাত
dudik,দুদিক
dudike,দুদিকে
dudin,দুদিন
dudinei,দুদিনেই
dudiner,দুদিনের
dudinobjapi,দুদিনব্যাপী
dudkeo,দুদকেও
dudker,দুদকের
dudler,ছিলো
dudok,দুদক
dudol,দুদল
dudorsha,দুদর্শা
dudraivarer,দুড্রাইভারের
dudu,দুদু
duduk,দুদুক
duduker,দুদুকের
duekbar,দুএকবার
duekojon,দুএকজন
dufol,দুফল
dugdhjat,দুগ্ধজাত
dugdho,দুগ্ধ
dugga,দুগ্গা
dugho,দুগহো
dughotnar,দুঘটনার
dugi,আপনার
duhat,দুহাত
duhate,দুহাতে
duhay,দুহায়
duhitar,দুহিতার
dui,দুই
duiba,ডুইবা
duibahinir,বৈঠকের
duibar,দুইবার
duibari,দুইবারই
duibela,দুইবেলা
duibochor,দুইবছর
duibon,দুইবোন
duiboner,দুইবোনের
duicarta,খেলাচলে
duida,দুইডা
duidar,দুইডার
duidike,দুইদিকে
duidin,দুইদিন
duidine,দুইদিনে
duidiner,দুইদিনের
duidol,দুইদল
duihate,দুইহাতে
duijke,দুইজকে
duijne,দুইজনে
duijnei,দুইজনেই
duijner,দুইজনের
duijneri,দুইজনেরই
duijni,দুইজনই
duijon,দুইজন
duijonke,দুইজনকে
duijonkei,দুইজনকেই
duijonos,দুইজনস
duika,ডুইকা
duikan,দুইকান
duimas,দুইমাস
duimase,দুইমাসে
duinambar,দুইনাম্বার
duing,আর
duinnar,দুইন্নার
duinombri,দুইনম্বরি
duipa,দুইপা
duipashe,আর
duipashei,আছে
duipkho,রাজনৈতিক
duiputrke,দুইপুত্রকে
duiputro,দুইপুত্রও
duira,দুইরা
duish,দুইশ
duisho,করা
duishot,দুইশত
duita,দুইটা
duitai,দুইটাই
duitaka,দুইটাকা
duitao,দুইটাও
duitar,দুইটার
duitare,দুইটারে
duitari,দুইটারি
duiti,দুইটি
duitritiyangosh,দুইতৃতীয়াংশ
duivabei,দুইভাবেই
dujan,দুজান
dujarop,দূযারোপ
dujaygay,দুজায়গায়
duji,দুজই
dujnar,দুজনার
dujnare,দুজনারে
dujne,দুজনে
dujnei,দুজনেই
dujneito,দুজনেইতো
dujner,দুজনের
dujneri,দুজনেরই
dujneto,দুজনেতো
dujni,দুজনই
dujog,দুযোগ
dujon,দুজন
dujonei,দুজনেই
dujoner,দুজোনের
dujonke,দুজনকে
dujonkei,দুজনকেই
dujora,দুজোড়া
duk,ডুক
duka,দুকা
dukaba,ডুকাবা
dukabe,ডুকাবে
dukai,ডুকাই
dukaiche,ডুকাইছে
dukaitam,ডুকাইতাম
dukaiya,ডুকাইয়া
dukale,ডুকালে
dukan,দুকান
dukane,দুকানে
dukano,ডুকানো
dukanur,ডুকানুর
dukao,ডুকাও
dukar,ডুকার
dukate,ডুকাতে
dukato,ডুকাতো
dukay,ডুকায়
dukaya,ডুকায়া
dukbe,ডুকবে
dukbena,ডুকবেনা
dukbo,ডুকবো
dukche,ডুকছে
duke,ডুকে
dukechen,ডুকেছেন
dukechi,ডুকেছি
duker,দুকের
dukh,দুখ
dukhani,দুখানি
dukhay,দূখায়
dukhe,দুখে
dukher,দুখের
dukhi,দুখি
dukhijibner,দুখীজীবনের
dukhini,মা
dukhire,বিপদ
dukhjo,দুখ্য
dukhkher,দূখখের
dukho,দুক্ষ
dukhojonok,দুখজনক
duki,ডুকি
dukiye,ডুকিয়ে
dukka,দুক্কা
dukke,ডুককে
dukkhe,দুক্ষে
dukkhit,দুক্ষিত
dukla,ডুকলা
duklam,ডুকলাম
dukle,ডুকলে
duklei,ডুকলেই
duklo,ডুকলো
dukre,ডুকরে
dukte,ডুকতে
duktei,ডুকতেই
dukul,দুকুল
dul,দুল
dula,দুলা
dulabai,দুলাবাই
dulahat,দুলাহাট
dulai,দুলাই
dulakh,দুলাখ
dulal,দুলাল
dulaler,দুলালের
dulali,দুলালি
dulalira,দুলালিরা
dulam,দুলাম
dulan,ডুলান
dulari,দুলারি
dularira,দুলারীরা
dulavai,দুলাভাই
dulavaike,দুলাভাইকে
dulavair,দুলাভাইর
dulavaiyer,দুলাভাইয়ের
dulche,দুলছে
dule,দুলে
duler,দুলের
dulhan,দুলহান
dulir,দুলির
duliye,দুলিয়ে
duloboltar,দুলবলতার
dulor,দুলোর
duloy,দুলয়
dulte,দুলতে
duluice,ডুলউইচে
duluni,দুলুনি
dum,দুম
dumas,দুমাস
dumaser,দুমাসের
dumdam,দুমদাম
dumera,ডুমেরা
dumkritijarojra,দুমকৃতিজারজরা
dumore,দুমড়ে
dumre,দুমড়ে
dumremucre,দুমড়েমুচড়ে
dumukhi,নীতি
dumukho,দুমুখো
dumutho,দুমুঠো
dunambar,দুনাম্বার
dunambari,দুনাম্বারি
duner,দুনের
dungkher,দুংখের
dungkhider,দুংখিদের
dungkhit,দুংখিত
dungkho,দুংখো
dungokh,দুংখ
dungokhojonok,দুংখজনক
dunir,দুনির
dunirti,দূনীর্তি
dunirtite,দূনীর্তিতে
dunite,দুনিতে
duniti,দূনীতি
dunitibaj,দূনীতিবাজ
dunitir,দূনীতির
dunitit,দুনিতীত
dunitite,দুনিতিতে
duniya,দুনিয়া
duniyabasike,দুনিয়াবাসীকে
duniyabasir,দুনিয়াবাসীর
duniyabi,দুনিয়াবি
duniyabir,হবে
duniyada,দুনিয়াডা
duniyai,দুনিয়াই
duniyake,দুনিয়াকে
duniyao,দুনিয়াও
duniyar,দুনিয়ার
duniyata,দুনিয়াটা
duniyatai,দুনিয়াটাই
duniyate,দুনিয়াতে
duniyatei,দুনিয়াতেই
duniyateo,দুনিয়াতেও
duniyay,দুনিয়ায়
duniyayo,দুনিয়ায়ও
duniyayor,দুনিয়ায়র
duniyaytei,দুনিয়ায়তেই
duno,দুনো
dunojner,দুনজনের
dunorti,দূনর্তি
dunotatei,দুনোটাতেই
dunta,দুনটা
dunu,দুনু
dupaoyalara,দূপাওয়ালারা
dupar,ডুপার
dupashe,দুপাশে
dupaye,দুপায়ে
dupeye,দুপেয়ে
dupkkher,দুপক্ষের
duplekso,ডুপ্লেক্স
dupliket,ডুপ্লিকেট
dupoysao,দুপয়সাও
dupre,দুপরে
dupur,দুপুর
dupure,দুপুরে
dupureo,দুপুরেও
dupurer,দুপুরের
dur,দূর
dura,দুরা
durabostha,দূরাবস্থা
duranto,থেকে
durarogjo,দুরারোগ্য
durasha,দুরাশা
durba,দুর্বা
durbagjo,দূরবাগ্য
durbar,দুর্বার
durbikkher,দূর্বিক্ষের
durbin,দুরবীন
durbinit,দুর্বীনিত
durbishoh,দুর্বিষহ
durbisoh,দুর্বিসহ
durbjobhar,দুর্ব্যবহার
durblata,দুর্বলাতা
durbodhjo,দুর্বোধ্য
durbol,দুর্বল
durbolke,তুমি
durbolot,দুর্বলত
durbolotom,দুর্বলতম
durbolra,দূর্বলরা
durbolta,দুর্বলতা
durboltake,দুর্বলতাকে
durboltar,দুর্বলতার
durboltatike,দুর্বলতাটিকে
durbottayon,দূর্বত্তায়ন
durbrittayn,দুর্বৃত্তায়ন
durbrittder,দুর্বৃত্তদের
durbritter,দুর্বৃত্তের
durbritto,দূর্বৃত্ত
durbrittopna,দুর্বৃত্তপনা
durbrittra,দুর্বৃত্তরা
durbttra,দুর্ব্ত্তরা
durdant,দুর্দান্ত
durdanto,দুর্দান্ত
durdantvabe,দুর্দান্তভাবে
durdeshe,দূরদেশে
durdhorsho,দুর্ধর্ষ
durdhorshtar,দুর্ধর্ষতার
durdine,দুর্দিনে
durdsha,দুর্দশা
durdshagrostho,দুর্দশাগ্রস্থ
durdshagrosto,দুর্দশাগ্রস্ত
durdshagulir,দুর্দশাগুলির
durdshai,দুর্দশাই
durdshar,দুর্দশার
durdshato,দূর্দশাতো
durduranto,দূরদূরান্ত
dure,দূরে
durei,দূরেই
durer,দূরের
durga,দুর্গা
durgapuja,দুর্গাপূজা
durgapujar,হামলার
durgapujay,বেশি
durgapur,দুর্গাপুর
durgar,দুর্গার
durger,দুর্গের
durghna,দূর্ঘনা
durghnar,দুর্ঘনার
durghotna,দুর্ঘটনা
durghotnaboshot,দুর্ঘটনাবশত
durghotnagulo,দুর্ঘটনাগুলো
durghotnai,দুর্ঘটনাই
durghotnakrme,দুর্ঘটনাক্রমে
durghotnar,দুর্ঘটনার
durghotnati,দুর্ঘটনাটি
durghotnay,দুর্ঘটনায়
durghotnayi,দুর্ঘটনায়ই
durgo,দুর্গ
durgom,দুর্গম
durgondhe,দূর্গন্ধে
durgondhjukto,দুর্গন্ধযুক্ত
durgondho,দুর্গন্ধ
durgondhomoy,দুর্গন্ধময়
durgondhosoh,দুর্গন্ধসহ
durgotosob,দুর্গোৎসব
durgti,দুর্গতি
durgtir,দুর্গতির
durhalara,দুরহালারা
duri,দুরি
durikorne,দূরিকরণে
durikoron,দূরীকরণ
durivut,দূরীভূত
durjeag,দুর্যোগ
durjog,দুর্যোগ
durjoge,দুর্যোগে
durjoger,দূর্যোগের
durjogpurno,দুর্যোগপূর্ণ
durjon,দুর্জন
durjoy,দুর্জয়
durlov,দুর্লভ
durnam,দুর্নাম
durnamta,দুর্নামটা
durnibar,দুর্নিবার
durniniti,দূর্নীনিতি
durniti,দুর্নীতি
durnitibaj,দুর্নীতিবাজ
durnitibajder,দুর্নীতিবাজদের
durnitibaje,দূর্নীতিবাজে
durnitibajer,দুর্নীতিবাজের
durnitibajke,দূর্নীতিবাজকে
durnitibajra,দূর্নীতিবাজরা
durnitibirodhi,দুর্নীতিবিরোধী
durnitigrosho,দূর্নীতিগ্রস্হ
durnitigroster,দুর্নীতিগ্রস্তের
durnitigrostho,দুর্নীতিগ্রস্থ
durnitigrosto,দুর্নীতিগ্রস্ত
durnitii,দুর্নীতিই
durnitike,দূর্নীতিকে
durnitikre,দুর্নিতিকরে
durnitimukto,দুর্নীতিমুক্ত
durnitiprayon,দুর্নিতীপরায়ন
durnitir,দুর্নীতির
durnitite,দুর্নীতিতে
durntibajder,দুর্ন্তিবাজদের
durobol,দূরবল
durobolta,দুরবলতা
duroborti,দূরবর্তী
duroboshar,দূরঅবস্হার
durobostha,দুরবস্থা
durobosthar,দুরবস্থার
durobosthayo,দুরবস্থায়ও
durodorshita,দূরদর্শিতা
durodsha,দূরদশা
duroghotna,দূরঘটনা
duroghotnar,দূরঘটনার
duroghotnay,দূরঘটনায়
durogjibi,দূরগজিবি
durogothnar,দুরগঠনার
duroh,দূরহ
durokom,দুরকম
durokre,দূরকরে
duronto,দুরন্ত
durontopnay,দুরন্তপনায়
durotb,দূরত্ব
durotbe,দুরত্বে
durotbeo,দূরত্বেও
durotber,দুরত্বের
durotbo,দূরত্ব
durotbta,দূরত্বটা
durotbtar,দূরত্বটার
durotbtuku,দূরত্বটুকু
durotter,দুরত্তের
durotto,প্রায়
durpallar,দূরপাল্লার
durra,দুররা
dursahos,দুর্সাহস
dursomye,দুর্সময়ে
duru,দুরু
durud,দুরুদ
duruh,দুরূহ
durut,দুরুত
durutbo,দুরুত্ব
duruttta,দুরুত্তটা
durvaga,দুর্ভাগা
durvagjer,দুর্ভাগ্যের
durvagjje,দুর্ভাগ্যযে
durvagjo,দুর্ভাগ্য
durvagjoboshot,দুর্ভাগ্যবশত
durvagjojonok,দুর্ভাগ্যজনক
durvagjojonokvabe,দুর্ভাগ্যজনকভাবে
durvagjokrme,আমাকে
durvagjta,এবং
durveagi,দূর্ভোগই
durvigroh,দুরভিগ্রহ
durvihmo,দুরভীহ্ম
durvikho,দুর্ভিক্ষ
durvikkhe,দুর্ভিক্ষে
durvikkher,দুর্ভিক্ষের
durvisoh,দূরভিসহ
durvisondhi,দুরভিসন্ধি
durvog,দুর্ভোগ
durvogti,দুর্ভোগটি
durvrikho,দূরভৃক্ষ
dus,দুস
dusahos,কথাবলার
dusahsi,দুসাহসী
duse,দুসে
dush,দুষ
dushben,দুষবেন
dushche,দুষছে
dushchen,দুষছেন
dushcinta,দুশ্চিন্তা
dushcintagrostho,দুশ্চিন্তাগ্রস্থ
dushcintar,দুশ্চিন্তার
dushcintay,দুশ্চিন্তায়
dushcritra,দুশ্চরিত্রা
dushcritrao,দুশ্চরিত্রাও
dushcritro,দুশ্চরিত্র
dushe,দুশে
dushi,দুষি
dushider,দূষিদের
dushinta,দুশিন্তা
dushit,দূষিত
dushkor,দুষ্কর
dushkormer,দুষ্কর্মের
dushkritikari,দুষ্কৃতিকারী
dushkritikarider,দুষ্কৃতিকারীদের
dushkritikarira,দুষ্কৃতিকারীরা
dushkritkari,দুষ্কৃতকারী
dushkritkarider,দুষ্কৃতকারীদের
dushman,দুশমান
dushner,দূষণের
dushocrie,দুশচরিএ
dushocriea,দুশচরিএা
